#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abattum;Abattum;Abattum;Abattum;;Abattum;;;;;;;;;x
c_abattum_adj;Abattumian;;abattumer;;;;;;;;;;;x
c_abu;Abu;Abu;Abu;;Abu;;;;;;;;;x
c_abu_adj;Abian;;aber;;;;;;;;;;;x
c_abydos;Abydos;Abydos;Abydos;;Abydos;;;;;;;;;x
c_abydos_adj;Abydosian;;abydoser;;;;;;;;;;;x
c_adramyttion;Adramyttion;Adramyttion;Adramyttion;;Adramyttion;;;;;;;;;x
c_adramyttion_adj;Adramyttionian;;adramyttioner;;;;;;;;;;;x
c_aigeira;Aigeira;Aigeira;Aigeira;;Aigeira;;;;;;;;;x
c_aigeira_adj;Aigeiran;;aigeirer;;;;;;;;;;;x
c_aigina;Aigina;Aigina;Aigina;;Aigina;;;;;;;;;x
c_aigina_adj;Aiginan;;aiginer;;;;;;;;;;;x
c_aigio;Aigio;Aigio;Aigio;;Aigio;;;;;;;;;x
c_aigio_adj;Aigian;;aiger;;;;;;;;;;;x
c_ainis;Ainis;Ainis;Ainis;;Ainis;;;;;;;;;x
c_ainis_adj;Ainisian;;ainiser;;;;;;;;;;;x
c_aisepos;Aisepos;Aisepos;Aisepos;;Aisepos;;;;;;;;;x
c_aisepos_adj;Aiseposian;;aiseposer;;;;;;;;;;;x
c_akko;Akko;Akko;Akko;;Akko;;;;;;;;;x
c_akko_adj;Akkian;;akker;;;;;;;;;;;x
c_alalakh;Alalakh;Alalakh;Alalakh;;Alalakh;;;;;;;;;x
c_alalakh_adj;Alalakhian;;alalakher;;;;;;;;;;;x
c_almina;Almina;Almina;Almina;;Almina;;;;;;;;;x
c_almina_adj;Alminan;;alminer;;;;;;;;;;;x
c_alos_karnos;Alos Karnos;Alos Karnos;Alos Karnos;;Alos Karnos;;;;;;;;;x
c_alos_karnos_adj;Alos Karnosian;;Alos Karnoser;;;;;;;;;;;x
c_altanna;Altanna;Altanna;Altanna;;Altanna;;;;;;;;;x
c_altanna_adj;Altannan;;altanner;;;;;;;;;;;x
c_ambara;Ambara;Ambara;Ambara;;Ambara;;;;;;;;;x
c_ambara_adj;Ambaran;;ambarer;;;;;;;;;;;x
c_ammiya;Ammiya;Ammiya;Ammiya;;Ammiya;;;;;;;;;x
c_ammiya_adj;Ammiyan;;ammer;;;;;;;;;;;x
c_andjety;Andjety;Andjety;Andjety;;Andjety;;;;;;;;;x
c_andjety_adj;Andjetian;;andjeter;;;;;;;;;;;x
c_ankala;Ankala;Ankala;Ankala;;Ankala;;;;;;;;;x
c_ankala_adj;Ankalan;;ankaler;;;;;;;;;;;x
c_apasa;Apasa;Apasa;Apasa;;Apasa;;;;;;;;;x
c_apasa_adj;Apasan;;apaser;;;;;;;;;;;x
c_ar;Ar;Ar;Ar;;Ar;;;;;;;;;x
c_ar_adj;Arian;;arer;;;;;;;;;;;x
c_arawana;Arawana;Arawana;Arawana;;Arawana;;;;;;;;;x
c_arawana_adj;Arawanan;;arawaner;;;;;;;;;;;x
c_argos;Argos;Argos;Argos;;Argos;;;;;;;;;x
c_argos_adj;Argosian;;argoser;;;;;;;;;;;x
c_arinna;Arinna;Arinna;Arinna;;Arinna;;;;;;;;;x
c_arinna_adj;Arinnan;;arinner;;;;;;;;;;;x
c_arpadda;Arpadda;Arpadda;Arpadda;;Arpadda;;;;;;;;;x
c_arpadda_adj;Arpaddan;;arpadder;;;;;;;;;;;x
c_arwada;Arwada;Arwada;Arwada;;Arwada;;;;;;;;;x
c_arwada_adj;Arwadan;;arwader;;;;;;;;;;;x
c_arzigana;Arzigana;Arzigana;Arzigana;;Arzigana;;;;;;;;;x
c_arzigana_adj;Arziganan;;arziganer;;;;;;;;;;;x
c_ascania;Ascania;Ascania;Ascania;;Ascania;;;;;;;;;x
c_ascania_adj;Ascanian;;ascaner;;;;;;;;;;;x
c_ashdod;Ashdod;Ashdod;Ashdod;;Ashdod;;;;;;;;;x
c_ashdod_adj;Ashdodian;;ashdoder;;;;;;;;;;;x
c_asita;Asita;Asita;Asita;;Asita;;;;;;;;;x
c_asita_adj;Asitan;;asiter;;;;;;;;;;;x
c_asqelon;Asqelon;Asqelon;Asqelon;;Asqelon;;;;;;;;;x
c_asqelon_adj;Asqelonian;;asqeloner;;;;;;;;;;;x
c_assaratta;Assaratta;Assaratta;Assaratta;;Assaratta;;;;;;;;;x
c_assaratta_adj;Assarattan;;assaratter;;;;;;;;;;;x
c_attarima;Attarima;Attarima;Attarima;;Attarima;;;;;;;;;x
c_attarima_adj;Attariman;;attarimer;;;;;;;;;;;x
c_attica;Attica;Attica;Attica;;Attica;;;;;;;;;x
c_attica_adj;Attican;;atticer;;;;;;;;;;;x
c_awarna;Awarna;Awarna;Awarna;;Awarna;;;;;;;;;x
c_awarna_adj;Awarnan;;awarner;;;;;;;;;;;x
c_azmu;Azmu;Azmu;Azmu;;Azmu;;;;;;;;;x
c_azmu_adj;Azmian;;azmer;;;;;;;;;;;x
c_azu;Azu;Azu;Azu;;Azu;;;;;;;;;x
c_azu_adj;Azian;;azer;;;;;;;;;;;x
c_azza;Azza;Azza;Azza;;Azza;;;;;;;;;x
c_azza_adj;Azzan;;azzer;;;;;;;;;;;x
c_bat;Bat;Bat;Bat;;Bat;;;;;;;;;x
c_bat_adj;Batian;;bater;;;;;;;;;;;x
