###########Imperial Authority Announcement Events###########
EVTDESCFKR101;As the reigning [Root.GetTitle] you are expected to lead the realm in all matters of statecraft and war, the weight of this task is immense.;;;;;;;;;;;;;x
EVTDESCFKR102;As you complete your investiture, the great authority in all matters of state are laid upon your shoulders. Are you truly prepared to lead the realm?;;;;;;;;;;;;;x
EVTOPTAFKR102;I am in the hands of [Root.Religion.GetHighGodName] now.;;;;;;;;;;;;;x

EVTDESCFKR105_WEAK;After years of subversion by both your council and your vassals, your authority over your realm has all but slipped completely away.;;;;;;;;;;;;;x
EVTOPTAFKR105_WEAK;What must I do? Perhaps this is my place...;;;;;;;;;;;;;x

EVTDESCFKR105_NOTWEAK;Through shrewd politics and exhibitions of your strength as a ruler, you have asserted yourself as one who may be fit to rule. However, there is still much to do.;;;;;;;;;;;;;x
EVTOPTAFKR105_NOTWEAK;I will prove myself greater than these serpents and jackals.;;;;;;;;;;;;;x

EVTDESCFKR105_FIGUREHEAD;As your vassals and council begin to rip more and more power from your hands, you have become a figurehead - a puppet to the princes and council - and made hostage within the choking luxury of the royal quarter.;;;;;;;;;;;;;x
EVTOPTAFKR105_FIGUREHEAD;The shame, the shame of it all...;;;;;;;;;;;;;x

EVTDESCFKR105;By wresting power away from your scheming vassals, you are free from the machinations of your court. However, the webs of intrigue continue to hang around you.;;;;;;;;;;;;;x
EVTOPTAFKR105;Still, it is great to be heard by ones people!;;;;;;;;;;;;;x

EVTDESCFKR105_B;Although you were once a respected and feared [Root.GetTitle], recent failings have decreased your total control of your realm.;;;;;;;;;;;;x
EVTOPTAFKR105_B;By [Root.Religion.GetHighGodName] I will regain control!;;;;;;;;;;;;;x

EVTDESCFKR105_STRONG;As you gain more influence in the affairs of court, those formerly smug serpents who whispered treason now whisper your name in fear as they observe your ascension into near complete control of your court and realm.;;;;;;;;;;;;;x
EVTOPTAFKR105_STRONG;It is good to be the [Root.GetTitle]!;;;;;;;;;;;;;x

###########Toolbox Notice###########
council_hates_vassal_TT;The council has turned against the vassal for speaking ill of the [Root.Liege.GetTitle];;;;;;;;;;;;;x
council_dislikes_emperor_TT;The council has turned against the [Root.Liege.GetTitle];;;;;;;;;;;;;x
council_hates_emperor_TT;The council has harshly turned against the [Root.Liege.GetTitle];;;;;;;;;;;;;x
furious_writing_TT;You begin furiously penning an attack on the character of the [Root.Liege.GetTitle];;;;;;;;;;;;;x
do_poorly_TT;Do Poorly;;;;;;;;;;;;;x
do_well_TT;Do Well;;;;;;;;;;;;;x
do_excellent_TT;Do Exceptionally Well;;;;;;;;;;;;;x

###########Imperial Authority Increase/Decrease Events###########
EVTDESCFKR108;Your upbringing has greatly prepared you for rule, and the vassals who would speak of treason now only speak of your competence, increasing your authority.;;;;;;;;;;;;;x
opta_excellent;Excellent!;;;;;;;;;;;;;x

EVTDESCFKR110;Your [From.GetJobTitle] has graciously announced [From.GetHerHis] support for you and your policies during a recent assembly, increasing your authority.;;;;;;;;;;;;;x

EVTDESCFKR111;As your council grants you more control over the affairs of state, your authority increases;;;;;;;;;;;;;x

EVTDESCFKR112;After your latest military victory, you are held in glowing esteem by the venerable princes of the realm and their retainers, increasing your authority.;;;;;;;;;;;;;x

EVTDESCFKR113;You have led the princes of the realm into glorious victory over the enemy, and all men lavish you with great praise and shout "Hail the [Root.GetTitle], finest of princes and trampler of our enemies!".;;;;;;;;;;;;;x

EVTDESCFKR114;Wholly unprepared for the job of rulership, your vassals see you as an incompetent fool, and refuse to respect your authority.;;;;;;;;;;;;;x
opta_disappointing;Disappointing...;;;;;;;;;;;;;x

EVTDESCFKR116;Your [From.GetJobTitle] has recently been deriding your policies and insulting your name during a recent meeting of the council, lowering your authority.;;;;;;;;;;;;;x

EVTDESCFKR117;With the surrendering of power to the council, your authority has decreased.;;;;;;;;;;;;;x

EVTDESCFKR118;After your latest defeat, the realm was left reeling as your subjects begin to question your very position of rulership.;;;;;;;;;;;;;x

EVTDESCFKR119;Your dead lie thick upon the earth, as the princes and widows of the realm shudder at this great defeat and declare, "Truly, he is no [Root.GetTitle], but a gutless worm!".;;;;;;;;;;;;;x

EVTDESCFKR120;As you ascend to the throne of [Root.PrimaryTitle.GetName], you find it difficult to control the whirlwind of court as your predecessor once had.;;;;;;;;;;;;;x
EVTOPTAFKR120;I will rain honor upon the heads of my house. So sayeth I.;;;;;;;;;;;;;x

EVTDESCFKR122;As your regency drags on, your authority has suffered.;;;;;;;;;;;;;x

EVTDESCFKR136;You won a great triumph for your realm! Your subjects come to you lavishing praise, and your council sees you as a greater ruler. It's good to be the [Root.GetTitle]!;;;;;;;;;;;;;x

EVTDESCFKR137;Vultures! You return to your realm defeated and humilated. Your subjects come to you insulting and ungrateful, and your council has begun to see you as a less capable ruler.;;;;;;;;;;;;;x

EVTDESCFKR138;Alas! An invading army has stampeded your capital and plundered the riches within. Your vassals now believe you to be less fit to rule, seeing as you are unable to defend the capital.;;;;;;;;;;;;;x

EVTTITLEFKR149;Collapse of Central Authority;;;;;;;;;;;;;x
EVTDESCFKR149;Alas! Your authority as [Root.GetTitle] has completely collapsed, and you have no sway over any of your vassals. Your title and any respect you once commanded as disappeared as your vassals become independent.;;;;;;;;;;;;;x
EVTOPTAFKR149;Woe unto me!;;;;;;;;;;;;;x

EVTTITLEFKR150;End of an Empire;;;;;;;;;;;;;x
EVTDESCFKR150;The [emperor_title.GetFullName] has collapsed, and the previous ruler is now lord of a significantly smaller area.;;;;;;;;;;;;;x
EVTOPTAFKR150;Thus ends an era.;;;;;;;;;;;;;x

###########Imperial Authority Slander Events###########
EVTDESCFKR125;That damn [Root.Liege.GetTitle]! His rule over these lands is a farce, and I shall show my fellow lord the true nature of [Root.Liege.GetSheHe]!;;;;;;;;;;;;;x
EVTOPTAFKR125;All of [Root.Liege.GetTitle] shall know of [Root.Liege.GetHerHis] crimes!;;;;;;;;;;;;;x

EVTDESCFKR126;It seems not only has my slandering of [Root.Liege.GetTitledFirstName] not caught on, it has backfired! Now the council speaks ill of my name.;;;;;;;;;;;;;x
EVTOPTAFKR126;Damn!;;;;;;;;;;;;;x
council_dislikes_you_TT;The council now dislikes you;;;;;;;;;;;;;x

EVTDESCFKR127;It seems my gamble has payed off! Their are now whispers of the impropriety of the [Root.Liege.GetTitle], and how unfit [Root.Liege.GetSheHe] is to rule.;;;;;;;;;;;;;x
EVTOPTAFKR127;As planned.;;;;;;;;;;;;;x

EVTDESCFKR128;My slander of [Root.Liege.GetTitledFirstName] has caused great commotion among the aristocracy. Now all the lords of the realm can speak about is how unfit the [Root.Liege.GetTitle] is!;;;;;;;;;;;;;x
EVTOPTAFKR128;Excellent!;;;;;;;;;;;;;x

EVTDESCFKR129;[From.GetTitledFirstName] has attempted to slander the [Root.Liege.GetTitle], not to any avail.;;;;;;;;;;;;;x
EVTOPTAFKR129;Absolutely foolish.;;;;;;;;;;;;;x

EVTDESCFKR130;[From.GetTitledFirstName] has sent letters to us in the council on the improprieties of [Root.Liege.GetTitledFirstName]. It seems as if [From.GetTitledFirstName] speaks the truth, and now there is common consensus in the council against [Root.Liege.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTAFKR130;Most interesting.;;;;;;;;;;;;;x

EVTDESCFKR131;[From.GetTitledFirstName] has sent the council a concering letter, detailing the unholy deeds of [Root.Liege.GetTitledFirstName], along with damning evidence.;;;;;;;;;;;;;x
EVTOPTAFKR131;The dishonor!;;;;;;;;;;;;;x

EVTDESCFKR132;[From.GetTitledFirstName] of the Court has just failed to slander your name.;;;;;;;;;;;;;x
EVTOPTAFKR132;That whinging parasite...;;;;;;;;;;;;;x

EVTDESCFKR133;[From.GetTitledFirstName] has somehow managed to slander your name!;;;;;;;;;;;;;x
EVTOPTAFKR133;That fetid dog!;;;;;;;;;;;;;x

EVTDESCFKR134;[From.GetTitledFirstName] has not only slandered your name but has trodden upon the honor of your family!;;;;;;;;;;;;;x
EVTOPTAFKR134;Not just myself, but my blood? Perhaps I will take their eyes...;;;;;;;;;;;;;x

###########Contacting the Divines Events###########
switched_devotion;Switched Devotion;;;;;;;;;;;;;x
contact_pantheon;Pray to the gods of the [Root.Religion.GetFullName] pantheon;;;;;;;;;;;;;x
contact_pantheon_desc;By praying to the [Root.Religion.GetFullName] pantheon, you wish to gain the blessings of the divines, whether they will recieve your request depends on your devotion to them and their fickle natures.;;;;;;;;;;;;;x
request_boon;Request Boon;;;;;;;;;;;;;x
request_boon_desc;Request a Boon from the Gods.;;;;;;;;;;;;;x
make_sacrifice_to;Make a Sacrifice to the Gods;;;;;;;;;;;;;x
make_sacrifice_to_desc;Slaughter a bull to the gods.;;;;;;;;;;;;;x

#call the gods to get boons or curses
EVTDESCFKP1;You have decided to call upon the gods of the [Root.Religion.GetFullName] pantheon in exultation and loud prayer. You set their images before you and contemplate their majesty.;;;;;;;;;;;;;x
click_on_portrait_TT;Click on the god's portrait to see their court and interact with the divines.;;;;;;;;;;;;;x
EVTDESCFKP100;It begins as a feeling, as when one slowly awakens from a dream. You feel a hand of light pass through you and for an instant you feel the euphoria of a youth in love or the love of a child for their parent. A god has paid notice to you, and now works those many small miracles that improve one’s life. Stretching your limbs, you shout for joy towards the heavens. You are blessed!;;;;;;;;;;;;;x
EVTDESCFKP101;Despair! The gods have ignored your request for a blessing, your devotion to them must not have been great enough. What is one to do?;;;;;;;;;;;;;x

#recieve boons from gods with epithets
EVTDESCFKP103;[From.GetFirstName] is a god with many names. As a result, while the gods have heard your prayers, it is for you to decide which of their divine qualities you wish to invoke...;;;;;;;;;;;;;x
EVTOPTAFKP103;I call upon Apollon Klutotóxos, Famed Holder of the Glistening Bow,;;;;;;;;;;;;;x
EVTOPTBFKP103;I call upon Apollon Akestor, The All-Healer.;;;;;;;;;;;;;x
EVTOPTCFKP103;I call upon Athenâ Promachos, Who Fights in the Front-Line.;;;;;;;;;;;;;x
EVTOPTDFKP103;I call upon Athenâ Glaukopis, Whose Owl-Eyes Glistens in the Night.;;;;;;;;;;;;;x

#sacrifice events
EVTDESCFKP200;You hope by making a sacrifice to the gods you are able to placate them and perhaps gain their favors, now it is up to you to decide the scope and grandeur of the ceremony...;;;;;;;;;;;;;x
EVTOPTAFKP200;You decide on a modest offering to placate the gods.;;;;;;;;;;;;;x
EVTOPTBFKP200;You decide to invite the necessary priests and put on a decent show for the rituals.;;;;;;;;;;;;;x
EVTOPTCFKP200;HAH, what am I, some poor country yokel? Spare no expense!;;;;;;;;;;;;;x

EVTDESCFKP201;As ruler, you of course have the option to carry out the sacrifice yourself. The prize bull is led into the throng signalling the beginning of the liturgy and the sacrifice. The priests nod, they are ready to initiate the ritual, you...;;;;;;;;;;;;;x
EVTOPTAFKP201;...say the prayers yourself and take the knife to the offerings throat.;;;;;;;;;;;;;x
EVTOPTBFKP201;...decide to let the priests handle it.;;;;;;;;;;;;;x

EVTDESCFKP202;You recite the archaic words flawlessly with correct intonation and volume, deftly you slide the razor-thin blade in and out of the bulls neck, it tramps, shudders, and lies down. The oldest priest gives you a strong nod as the initiates frantically bend down to collect the precious blood and start the fire upon the altar. The gods will be pleased.;;;;;;;;;;;;;x
EVTOPTAFKP202;For the glory of the gods, and my house!;;;;;;;;;;;;;x
EVTDESCFKP204;The priests cry out the correct exultations as the prize bull is led into the throng. The oldest among them finishes the prayer and without blinking opens the beasts throat with the flint knife. As it thrashes and dies the younger members of the congregation begin to light the altar fire and prepare to joint the bull. A successful sacrifice!;;;;;;;;;;;;;x
EVTOPTAFKP204;As to be expected...;;;;;;;;;;;;;x

EVTDESCFKP203;You turn the sacred words into a stuttering muddle, halfway through you accidently recite a childhood prayer and have to begin again. Your cut was too shallow as well, the nervous bull tosses its head and knocks you to the ground. You shout a blasphemous curse and arise covered in filth and blood...;;;;;;;;;;;;;x
EVTOPTAFKP203;Oh, what transgression have I committed?;;;;;;;;;;;;;x
EVTDESCFKP205;It begins well enough, the prayers were recited more or less correctly by the chosen priest who unfortunately displays the signs of a drunk and nervous man. But as the prize bull is led out it not only trods on an old man's foot but breaks free and gallops away!;;;;;;;;;;;;;x
EVTOPTAFKP205;Catch it! Catch it you fools! Gods, the day is ruined!;;;;;;;;;;;;;x

EVTDESCFKP302;The day begins horribly, you are gripped with anxiety and nausea arising from a night of feverish half-sleep. You flee the shaded corridors for the garden, where even the wind in your ears seems to mock you and the undersides of shrubs are home to grinning demons. You are cursed by a vengeful god.;;;;;;;;;;;;;x
EVTOPTAFKP302;How strange are the ways of the gods...;;;;;;;;;;;;;x

###########Religion Events###########
EVTDESCFKREL1;You gather the choicest treasures from the enemy plunder, and offer it to the gods. The flames sweep up to heaven as the warriors raise their spears and beat their shields!;;;;;;;;;;;;;x
OPTAFKREL1;I pillage in the name of [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x

###########Devotion Decision Events###########
choose_devotion_pihassasi;Devote Yourself to a God of the Pihassasi Pantheon;;;;;;;;;;;;;x
choose_devotion_pihassasi_desc;The Pihassasi Pantheon has many gods to choose from, perhaps it is time for you to choose one to devote to...;;;;;;;;;;;;;x
switch_devotion;Devote Yourself to Another God;;;;;;;;;;;;;x
switch_devotion_desc;Pantheons have many gods to choose from perhaps it is time devote yourself to another...;;;;;;;;;;;;;x
dedicate_child;Dedicate your Child to a God;;;;;;;;;;;;;x
dedicate_child_desc;Dedicate your child to a god of the [Root.Religion.GetFullName] Pantheon.;;;;;;;;;;;;;x
absolve_curse_sacrifice;Sacrifice to Absolve the Gods' curse!;;;;;;;;;;;;;x
absolve_curse_sacrifice_desc;Sacrifice to absolve the gods' curse which was laid upon you.;;;;;;;;;;;;;x

EVTDESCFKREL101;You enter the temple complex, cleansed and in the proper garb. The priests of each deity eagerly await your choice of patron, they display the images of their mighty lives and deeds... Now is the time to choose.;;;;;;;;;;;;;x

EVTOPTAFKREL101;"I devote myself to you oh Lord of the Land, Heavenly Sovereign.";;;;;;;;;;;;;x
EVTOPTBFKREL101;"I devote myself to you, The Sun of the Earth, fairest of all.";;;;;;;;;;;;;x
EVTOPTCFKREL101;"I devote myself to you, Exalted Son of Tarhunna, Prince of all.";;;;;;;;;;;;;x

EVTOPTDFKREL100;"I devote myself to you who greatest shines upon Horseback...";;;;;;;;;;;;;x
EVTOPTEFKREL100;"I devote myself to you Guiding Spear upon the Plains...";;;;;;;;;;;;;x
EVTOPTFFKREL100;"I devote myself to you oh Lord who brings life to every soul...";;;;;;;;;;;;;x

