PROV1;Hattusa;;;;;;;;;;;;;x
PROV2;Zalpuwa;;;;;;;;;;;;;x
PROV3;Izziya;;;;;;;;;;;;;x
PROV4;Malluma;;;;;;;;;;;;;x
PROV5;Lawazantiya;;;;;;;;;;;;;x
PROV6;Zaruna;;;;;;;;;;;;;x
PROV7;Bulbulhum;;;;;;;;;;;;;x
PROV8;Tarsa;;;;;;;;;;;;;x
PROV9;Saliya;;;;;;;;;;;;;x
PROV10;Ura;;;;;;;;;;;;;x
PROV11;Tarhuntassa;;;;;;;;;;;;;x
PROV12;Saranduwa;;;;;;;;;;;;;x
PROV13;Kastaraya;;;;;;;;;;;;;x
PROV14;Asita;;;;;;;;;;;;;x
PROV15;Sallusa;;;;;;;;;;;;;x
PROV16;Nahita;;;;;;;;;;;;;x
PROV17;Sukziya;;;;;;;;;;;;;x
PROV18;Kummuth;;;;;;;;;;;;;x
PROV19;Mala;;;;;;;;;;;;;x
PROV20;Mamma;;;;;;;;;;;;;x
PROV21;Katapa;;;;;;;;;;;;;x
PROV22;Kalasma;;;;;;;;;;;;;x
PROV23;Tumanna;;;;;;;;;;;;;x
PROV24;Kasula;;;;;;;;;;;;;x
PROV25;Sariya;;;;;;;;;;;;;x
PROV26;Istahara;;;;;;;;;;;;;x
PROV27;Sappa;;;;;;;;;;;;;x
PROV28;Sahiriya;;;;;;;;;;;;;x
PROV29;Walma;;;;;;;;;;;;;x
PROV30;Marasa;;;;;;;;;;;;;x
PROV31;Athulissa;;;;;;;;;;;;;x
PROV32;Gassu;;;;;;;;;;;;;x
PROV33;Sawit;;;;;;;;;;;;;x
PROV34;Kunanamit;;;;;;;;;;;;;x
PROV35;Altanna;;;;;;;;;;;;;x
PROV36;Takkupta;;;;;;;;;;;;;x
PROV37;Taskuriya;;;;;;;;;;;;;x
PROV38;Tuhuppiya;;;;;;;;;;;;;x
PROV39;Kapitra;;;;;;;;;;;;;x
PROV40;Kanes;;;;;;;;;;;;;x
PROV41;Zipishuna;;;;;;;;;;;;;x
PROV42;Ullamma;;;;;;;;;;;;;x
PROV43;Piddaniyasa;;;;;;;;;;;;;x
PROV44;Salatiwara;;;;;;;;;;;;;x
PROV45;Hapalla;;;;;;;;;;;;;x
PROV46;Tegarama;;;;;;;;;;;;;x
PROV47;Lahhwiyassi;;;;;;;;;;;;;x
PROV48;Hulaya;;;;;;;;;;;;;x
PROV49;Sinnuwanda;;;;;;;;;;;;;x
PROV50;Suwatara;;;;;;;;;;;;;x
PROV51;Laanda;;;;;;;;;;;;;x
PROV52;Hupisna;;;;;;;;;;;;;x
PROV53;Masika;;;;;;;;;;;;;x
PROV54;Haburat;;;;;;;;;;;;;x
PROV55;Istitina;;;;;;;;;;;;;x
PROV56;Kummaha;;;;;;;;;;;;;x
PROV57;Pahhuwa;;;;;;;;;;;;;x
PROV58;Samuha;;;;;;;;;;;;;x
PROV59;Serigga;;;;;;;;;;;;;x
PROV60;Paduwanda;;;;;;;;;;;;;x
PROV61;Sarpa;;;;;;;;;;;;;x
PROV62;Samura;;;;;;;;;;;;;x
PROV63;Timelkiya;;;;;;;;;;;;;x
PROV64;Hurma;;;;;;;;;;;;;x
PROV65;Arihuwa;;;;;;;;;;;;;x
PROV66;Til-garimmu;;;;;;;;;;;;;x
PROV67;Asturiya;;;;;;;;;;;;;x
PROV68;Mykenae;;;;;;;;;;;;;x
PROV69;Megara;;;;;;;;;;;;;x
PROV70;Sykyon;;;;;;;;;;;;;x
PROV71;Aigeira;;;;;;;;;;;;;x
PROV72;Aigio;;;;;;;;;;;;;x
PROV73;Salamína;;;;;;;;;;;;;x
PROV74;Elis;;;;;;;;;;;;;x
PROV75;Tyhos Dymaeon;;;;;;;;;;;;;x
PROV76;Dymes;;;;;;;;;;;;;x
PROV77;Kleitor;;;;;;;;;;;;;x
PROV78;Orchomenus;;;;;;;;;;;;;x
PROV79;Pheneos;;;;;;;;;;;;;x
PROV80;Tegea;;;;;;;;;;;;;x
PROV81;Argos;;;;;;;;;;;;;x
PROV82;Mases;;;;;;;;;;;;;x
PROV83;Methana;;;;;;;;;;;;;x
PROV84;Lakonía;;;;;;;;;;;;;x
PROV85;Prasiai;;;;;;;;;;;;;x
PROV86;Epidauros Limera;;;;;;;;;;;;;x
PROV87;Gytheion;;;;;;;;;;;;;x
PROV88;Kastrí;;;;;;;;;;;;;x
PROV89;Messene;;;;;;;;;;;;;x
PROV90;Dorion;;;;;;;;;;;;;x
PROV91;Pylos;;;;;;;;;;;;;x
PROV92;Gerenía;;;;;;;;;;;;;x
PROV93;Attica;;;;;;;;;;;;;x
PROV94;Eleusis;;;;;;;;;;;;;x
PROV95;Marathon;;;;;;;;;;;;;x
PROV96;Perati;;;;;;;;;;;;;x
PROV97;Plataia;;;;;;;;;;;;;x
PROV98;Thêbai;;;;;;;;;;;;;x
PROV99;Opoûs;;;;;;;;;;;;;x
PROV100;Khaironeia;;;;;;;;;;;;;x
PROV101;Dion;;;;;;;;;;;;;x
PROV102;Eretria;;;;;;;;;;;;;x
PROV103;Dystos;;;;;;;;;;;;;x
PROV104;Peparethos;;;;;;;;;;;;;x
PROV105;Urqananu Sea;;;;;;;;;;;;;x
